,Item,State,Weekend,Grade,Organic,RPS,DFD,Freshness,Seasonal,Otipy_certified,Unique_Customors,Price,Demand
72,1,4,1,1,0,0.213,0.363,0.379,1,1,3375,16.5,6002
73,1,2,0,3,1,0.742,0.773,0.898,1,1,8537,28.35,9821
74,1,3,0,1,0,0.33,0.304,0.037,0,0,4108,16.8,5700
75,1,3,1,2,0,0.391,0.08,0.097,0,0,1390,12.6,2465
76,1,2,1,4,1,0.888,0.93,0.738,1,0,9699,31.5,11468
77,1,3,0,3,1,0.422,0.562,0.573,1,1,6948,16.8,8383
78,1,2,0,2,1,0.554,0.495,0.413,0,1,6869,15.75,8075
79,1,2,1,3,1,0.944,0.887,0.714,1,0,13497,26.25,15427
80,1,3,0,2,0,0.675,0.559,0.464,0,1,7919,21.0,9008
81,1,4,0,2,0,0.485,0.527,0.623,1,0,8353,17.85,10141
82,1,4,0,3,1,0.676,0.633,0.624,1,1,7576,17.85,9267
83,1,2,1,3,0,0.421,0.495,0.686,0,1,8346,17.85,10216
84,1,1,0,2,0,0.481,0.527,0.549,1,1,8193,18.9,9418
85,1,2,0,3,0,0.418,0.551,0.556,0,1,7677,21.0,9339
86,1,1,1,2,0,0.638,0.678,0.691,1,0,8218,21.0,9485
87,1,3,0,2,0,0.305,0.167,0.272,1,0,2377,15.75,4287
88,1,1,1,3,1,0.791,0.948,0.842,0,1,12451,28.35,14437
89,1,2,1,3,0,0.568,0.563,0.565,1,1,8170,20.9,10436
90,1,2,1,3,1,0.827,0.909,0.784,0,1,14185,26.25,15876
91,1,4,0,2,0,0.078,0.071,0.281,1,0,1682,14.7,2815
92,1,3,1,3,1,0.488,0.623,0.654,1,0,7682,16.8,9404
93,1,3,1,2,0,0.29,0.189,0.148,1,0,5133,10.5,6909
94,1,1,1,2,0,0.563,0.684,0.401,0,1,8223,15.75,10040
95,1,3,1,2,0,0.461,0.633,0.663,1,1,7250,17.6,9697
96,1,4,0,1,0,0.118,0.104,0.369,0,1,3447,13.65,4511
97,1,1,1,3,1,0.902,0.95,0.879,0,0,13266,30.45,14338
98,1,1,1,3,1,0.673,0.656,0.542,0,1,7902,15.75,9251
99,1,3,0,2,0,0.295,0.108,0.218,1,0,3315,10.5,4825
100,1,3,0,3,1,0.681,0.643,0.585,0,0,6995,17.85,8825
101,1,1,0,2,0,0.665,0.429,0.505,1,0,5872,16.8,7701
102,1,3,0,2,0,0.112,0.242,0.045,1,1,4549,12.6,5787
103,1,2,1,4,1,0.981,0.736,0.905,0,0,11141,28.35,12373
104,1,2,0,4,1,0.882,0.89,0.846,0,1,12146,26.25,13641
105,1,1,0,3,1,0.562,0.659,0.419,1,0,8080,19.95,9332
106,1,3,1,2,0,0.442,0.494,0.501,1,0,6658,17.85,7937
107,1,2,0,2,1,0.464,0.496,0.44,0,1,7059,21.0,9012
108,1,3,0,2,0,0.015,0.167,0.34,0,0,1799,17.85,2800
109,1,1,0,3,1,0.755,0.857,0.726,0,1,12134,29.4,13585
110,1,2,1,2,1,0.689,0.56,0.475,1,0,7191,19.95,9001
111,1,3,1,2,0,0.593,0.645,0.696,0,1,6337,17.85,7684
112,1,2,0,3,1,0.738,0.874,0.866,0,1,9860,26.25,10875
113,1,3,0,3,1,0.461,0.571,0.68,1,1,7963,15.75,9011
114,1,3,0,1,0,0.299,0.359,0.337,0,1,4290,11.55,5386
115,1,2,0,4,1,0.915,0.823,0.89,1,1,11564,28.35,13526
116,1,4,1,2,0,0.534,0.586,0.659,1,0,6030,18.9,7033
117,1,3,1,3,0,0.57,0.512,0.613,1,0,7384,17.85,8810
118,1,2,0,4,1,0.77,0.92,0.881,1,0,9567,28.35,11298
119,1,1,1,2,0,0.686,0.675,0.689,1,1,7296,17.6,9650
120,1,3,1,2,0,0.303,0.285,0.353,0,0,4223,12.6,6088
121,1,1,0,3,1,0.869,0.864,0.871,1,1,10403,28.35,11556
122,1,4,1,2,1,0.677,0.417,0.537,1,1,7231,16.5,9911
123,1,3,0,2,0,0.499,0.621,0.551,1,0,8247,15.75,9425
124,1,1,0,3,0,0.658,0.457,0.524,1,1,8250,16.8,9775
125,1,2,1,2,0,0.593,0.518,0.677,1,0,7932,16.8,8959
126,1,2,0,3,1,0.919,0.755,0.925,1,0,11390,27.3,13234
127,1,1,1,4,1,0.759,0.828,0.877,0,0,9954,30.45,11030
128,1,3,0,3,1,0.438,0.689,0.419,1,1,5908,17.85,7735
129,1,1,0,3,0,0.528,0.588,0.445,0,1,7618,16.8,8959
130,1,2,0,4,1,0.765,0.917,0.919,0,1,10972,27.3,12903
131,1,4,1,3,0,0.537,0.57,0.657,1,1,5597,18.7,7890
132,1,1,1,2,0,0.621,0.586,0.654,1,1,6149,22.0,9075
133,1,1,0,3,1,0.895,0.715,0.83,1,1,13039,31.5,14445
134,1,4,0,2,0,0.591,0.61,0.697,0,1,5502,18.9,6596
135,1,4,0,2,0,0.243,0.255,0.186,0,0,2625,13.65,3928
136,1,2,0,3,1,0.829,0.938,0.786,1,1,8527,26.25,9759
137,1,2,1,4,1,0.74,0.789,0.719,0,0,10324,26.25,11645
138,1,4,1,3,0,0.451,0.689,0.653,0,1,8235,19.95,9737
139,1,1,0,4,1,0.991,0.848,0.864,0,0,11563,27.3,13160
140,1,2,0,2,0,0.489,0.512,0.668,0,0,5476,15.75,6617
141,1,2,1,3,1,0.961,0.774,0.753,0,0,15212,29.4,16318
142,1,2,1,3,1,0.842,0.769,0.799,0,1,9154,31.5,10720
143,1,4,1,3,1,0.681,0.42,0.454,0,1,7625,16.8,9055
144,1,3,1,2,0,0.091,0.036,0.088,1,1,1489,15.4,3965
145,1,1,1,4,1,0.962,0.956,0.997,0,1,10283,28.35,11812
146,1,3,1,1,0,0.167,0.262,0.258,0,1,3535,17.85,4727
147,1,3,0,3,0,0.465,0.453,0.455,1,1,7186,21.0,8663
148,1,4,1,2,1,0.456,0.58,0.678,0,1,7695,15.75,8852
149,1,1,1,2,0,0.421,0.605,0.404,1,0,7635,17.85,9328
150,1,1,1,3,0,0.475,0.583,0.632,0,0,7690,18.9,9415
151,1,2,1,4,1,0.727,0.779,0.909,0,1,12546,29.4,14248
152,1,1,0,2,1,0.639,0.552,0.535,0,0,7898,19.95,9281
153,1,2,1,3,1,0.607,0.578,0.596,1,1,6000,16.5,8116
154,1,1,0,4,1,0.87,0.941,0.865,0,1,13865,28.35,14865
155,1,3,0,2,0,0.3,0.256,0.049,0,0,3559,15.75,5276
156,1,3,1,1,0,0.136,0.179,0.211,1,0,2297,16.8,3745
157,1,2,0,4,1,0.86,0.968,0.82,0,1,13361,26.25,14533
158,1,1,0,2,0,0.688,0.466,0.635,0,0,5550,21.0,7048
159,1,1,1,4,1,0.854,0.876,0.768,0,0,14206,27.3,15420
160,1,1,1,3,1,0.74,0.809,0.718,1,0,12684,31.5,14028
161,1,4,0,2,0,0.479,0.577,0.467,1,1,6724,21.0,7787
162,1,3,1,3,1,0.584,0.567,0.525,0,1,5759,15.75,7392
163,1,2,1,3,1,0.965,0.98,0.721,0,0,11880,29.4,13330
164,1,4,1,3,0,0.498,0.435,0.478,1,1,8444,16.5,11216
165,1,3,1,3,0,0.486,0.584,0.654,0,1,5302,21.0,7122
166,1,1,1,3,1,0.991,0.964,0.712,0,1,15332,30.45,16832
167,1,2,0,2,0,0.587,0.439,0.616,0,0,5536,18.9,7331
168,1,3,1,1,0,0.069,0.085,0.146,0,0,2061,15.75,3294
169,1,2,1,4,1,0.943,0.849,0.719,0,1,15021,30.45,16421
170,1,1,0,3,1,0.622,0.403,0.501,0,0,8069,18.9,9662
171,1,3,1,2,1,0.475,0.579,0.516,1,1,6044,16.5,8293
172,1,2,0,4,1,0.964,0.74,0.972,0,1,14368,31.5,15867
173,1,4,0,2,0,0.664,0.402,0.647,0,0,7522,18.9,8586
174,1,3,1,2,0,0.645,0.627,0.482,1,0,7350,15.75,8650
175,1,1,1,3,1,0.695,0.614,0.631,0,0,6912,17.85,7917
176,1,2,1,2,0,0.508,0.444,0.694,0,0,5654,16.8,7116
177,1,1,0,2,1,0.638,0.568,0.64,0,0,5252,16.8,6647
178,1,1,0,3,1,0.644,0.652,0.565,1,1,5468,17.85,6768
179,1,2,1,2,0,0.401,0.607,0.437,0,0,6406,18.9,7888
180,1,1,1,2,0,0.451,0.666,0.696,0,1,8137,18.9,9259
181,1,3,1,2,1,0.677,0.563,0.483,1,0,6951,17.85,8261
182,1,4,1,2,1,0.678,0.685,0.561,1,0,7464,21.0,8964
183,1,2,1,2,1,0.608,0.432,0.628,1,0,7195,21.0,8214
184,1,2,1,4,1,0.863,0.825,0.946,1,1,9637,30.8,12588
185,1,2,0,2,0,0.461,0.432,0.638,0,1,7220,16.8,8473
186,1,3,1,2,0,0.431,0.446,0.662,0,0,5883,17.85,7217
187,1,2,0,4,1,0.829,0.767,0.75,1,1,13718,27.3,15677
188,1,3,1,2,1,0.497,0.589,0.413,1,1,6031,17.6,8071
189,1,4,1,3,0,0.644,0.667,0.447,1,0,5979,17.85,7367
190,1,4,0,3,0,0.461,0.411,0.559,0,0,7390,21.0,8566
191,1,3,0,3,1,0.686,0.61,0.434,0,0,6050,19.95,7346
192,1,3,1,1,0,0.363,0.126,0.263,1,1,2581,16.5,5280
193,1,2,0,4,1,0.996,0.916,0.766,1,0,15179,30.45,16590
194,1,1,1,2,0,0.643,0.558,0.593,1,0,7005,21.0,8880
195,1,4,1,1,0,0.32,0.295,0.223,0,0,4302,16.8,5401
196,1,1,1,3,1,0.753,0.886,0.987,0,0,10030,31.5,11911
197,1,3,0,3,1,0.615,0.409,0.587,1,1,8224,15.75,9460
198,1,4,0,1,0,0.295,0.197,0.029,0,1,1506,15.75,2979
199,1,1,1,3,1,0.945,0.784,0.915,1,0,12776,28.35,14579
200,1,2,1,2,1,0.578,0.424,0.433,0,0,6839,21.0,8315
201,1,2,1,2,1,0.551,0.489,0.687,0,0,5493,21.0,7075
202,1,3,1,2,1,0.619,0.498,0.47,0,0,7791,18.9,9405
203,1,4,0,2,1,0.475,0.6,0.57,0,0,5272,21.0,6430
204,1,3,1,3,1,0.598,0.42,0.68,1,1,6320,22.0,9222
205,1,2,0,2,1,0.598,0.582,0.51,0,0,6012,18.9,7433
206,1,4,0,3,1,0.646,0.409,0.657,0,0,7666,18.9,8923
207,1,4,0,2,0,0.427,0.448,0.54,0,1,6353,17.85,8036
208,1,3,0,1,0,0.095,0.249,0.162,1,1,4405,12.6,6089
209,1,4,0,2,0,0.431,0.425,0.468,1,1,5315,19.95,6883
210,1,4,1,1,0,0.359,0.218,0.277,1,0,5082,16.8,6750
211,1,2,0,3,1,0.67,0.525,0.544,0,0,6865,16.8,7866
212,1,3,0,2,1,0.567,0.428,0.403,1,0,8263,15.75,9544
213,1,3,0,3,1,0.433,0.523,0.57,1,0,8353,17.85,10345
214,1,1,0,4,1,0.813,0.748,0.954,0,0,12876,28.35,14442
215,1,4,0,2,0,0.579,0.678,0.645,0,1,8337,21.0,10229
216,1,3,0,2,0,0.587,0.463,0.56,0,1,6165,19.95,7870
217,1,2,0,4,1,0.877,0.821,0.758,1,0,12376,28.35,13420
218,1,1,1,3,0,0.526,0.646,0.473,0,0,6234,18.9,7240
219,1,1,1,3,1,0.795,0.956,0.962,1,1,11190,33.0,13382
220,1,2,0,3,1,0.901,0.989,0.897,1,1,8425,31.5,10258
221,1,2,0,2,1,0.671,0.499,0.477,1,1,5287,17.85,7166
222,1,4,1,1,0,0.083,0.385,0.029,0,1,3113,16.8,4445
223,1,2,1,3,1,0.785,0.722,0.88,0,0,9885,30.45,11176
224,1,4,1,3,1,0.437,0.511,0.612,1,0,6402,16.8,7822
225,1,3,0,3,0,0.55,0.641,0.551,0,1,6155,21.0,8140
226,1,4,0,2,1,0.505,0.515,0.596,1,0,8093,18.9,9490
227,1,4,0,3,1,0.679,0.697,0.539,0,1,5406,17.85,7365
228,1,4,1,2,0,0.004,0.351,0.08,0,1,2559,12.6,3699
229,1,1,0,4,1,0.929,0.885,0.708,0,0,11104,27.3,12775
230,1,3,0,2,0,0.244,0.307,0.305,1,1,4352,11.55,5815
231,1,4,0,3,1,0.596,0.674,0.558,0,1,7087,16.8,8621
232,1,4,1,2,1,0.58,0.655,0.587,0,0,6901,16.8,8161
233,1,3,0,1,0,0.053,0.373,0.124,0,0,3040,13.65,4850
234,1,4,0,1,0,0.269,0.106,0.068,1,1,1888,14.7,3731
235,1,1,0,2,1,0.695,0.543,0.534,0,1,6919,21.0,8338
236,1,1,0,3,0,0.678,0.412,0.608,0,1,6294,15.75,8045
237,1,3,1,2,0,0.029,0.022,0.255,1,0,2636,10.5,3871
238,1,3,0,2,0,0.698,0.646,0.551,1,1,5726,17.85,6936
239,1,4,1,2,0,0.672,0.562,0.54,0,0,5972,15.75,7900
240,1,1,0,3,1,0.644,0.692,0.547,0,0,5772,15.75,6823
241,1,1,1,4,1,0.894,0.829,0.78,0,1,10178,26.25,11688
242,1,4,0,3,1,0.478,0.433,0.64,0,0,7470,16.8,8978
243,1,3,1,1,0,0.172,0.101,0.013,0,0,4249,10.5,6174
244,1,2,0,3,1,0.863,0.725,0.73,1,1,15403,27.3,16500
245,1,1,0,2,1,0.52,0.546,0.51,0,0,8204,17.85,10025
246,1,1,0,3,0,0.449,0.405,0.676,0,0,6642,19.95,8044
247,1,2,0,2,1,0.499,0.485,0.48,1,0,5811,16.8,7116
248,1,3,0,3,1,0.518,0.454,0.601,1,0,6474,17.85,8284
249,1,3,1,3,0,0.663,0.442,0.631,0,0,7980,21.0,9650
250,1,4,1,2,0,0.414,0.633,0.407,1,0,6500,18.9,8351
251,1,4,0,2,0,0.453,0.683,0.416,1,1,5560,21.0,6891
252,1,3,1,2,0,0.241,0.144,0.002,1,0,2279,12.6,3818
253,1,2,1,4,1,0.711,0.962,0.761,0,1,13025,28.35,14942
254,1,2,1,2,0,0.682,0.656,0.659,1,0,8013,15.75,9070
255,1,4,1,2,0,0.152,0.345,0.121,1,1,1130,14.3,3808
256,1,1,0,3,1,0.843,0.966,0.842,0,0,8520,31.5,9964
257,1,3,0,1,0,0.362,0.046,0.391,1,1,2471,10.5,4334
258,1,3,0,2,0,0.164,0.241,0.069,1,1,3251,11.55,4382
259,1,1,1,4,1,0.822,0.705,0.804,1,0,9482,26.25,10508
260,1,3,0,3,1,0.552,0.561,0.434,1,0,7607,21.0,8699
261,1,2,1,3,0,0.521,0.641,0.674,0,1,7492,16.8,9307
262,1,2,1,4,1,0.797,0.859,0.994,1,1,12471,33.0,14657
263,1,3,0,2,1,0.641,0.417,0.426,0,1,6714,16.8,8512
264,1,1,0,2,0,0.614,0.682,0.682,1,1,5801,18.9,7288
265,1,2,0,4,1,0.906,0.746,0.811,0,0,14200,31.5,16138
266,1,3,1,2,1,0.65,0.659,0.543,1,1,7796,18.7,10609
267,1,4,0,1,0,0.042,0.313,0.017,0,1,3816,14.7,5483
268,1,2,0,3,1,0.975,0.844,0.701,0,1,14553,28.35,16072
269,1,3,0,3,0,0.69,0.622,0.434,0,1,6137,15.75,7656
270,1,4,1,1,0,0.101,0.162,0.246,1,1,1182,18.7,3648
271,1,1,0,4,1,0.972,0.771,0.895,0,1,11883,28.35,13197
272,1,2,1,3,0,0.655,0.699,0.66,1,0,7909,19.95,9609
273,1,4,0,3,1,0.482,0.639,0.587,0,0,8099,15.75,9863
274,1,3,0,1,0,0.007,0.166,0.324,1,0,2189,13.65,3568
275,1,4,0,3,1,0.613,0.457,0.632,0,1,6902,16.8,8525
276,1,3,1,3,0,0.619,0.598,0.61,1,1,7114,18.7,10089
277,1,4,0,3,0,0.52,0.588,0.533,1,1,5912,21.0,7825
278,1,1,1,3,0,0.603,0.508,0.571,1,1,5520,20.9,7634
279,1,4,0,2,0,0.165,0.387,0.237,1,0,3623,16.8,4918
280,1,1,0,4,1,0.935,0.977,0.841,1,0,14208,27.3,15942
281,1,4,0,1,0,0.4,0.365,0.121,0,0,5045,16.8,6846
282,1,3,0,2,0,0.32,0.18,0.353,1,1,1084,16.8,3022
283,1,1,1,3,1,0.691,0.583,0.609,1,0,6012,17.85,7941
284,1,4,0,2,0,0.541,0.476,0.603,1,0,7562,15.75,8870
285,1,3,1,1,0,0.169,0.262,0.122,0,1,4751,12.6,6551
286,1,2,0,3,1,0.91,0.888,0.836,0,0,8764,31.5,10383
287,1,4,1,2,1,0.562,0.487,0.44,1,0,6622,15.75,7930
288,1,4,0,3,1,0.501,0.558,0.514,0,0,7920,19.95,9544
289,1,2,1,4,1,0.767,0.952,0.96,0,1,10359,30.45,11969
290,1,2,0,2,0,0.614,0.481,0.677,0,1,6130,17.85,7603
291,1,3,1,3,1,0.682,0.607,0.508,1,0,6858,17.85,8775
292,1,1,0,3,1,0.602,0.477,0.501,0,0,6846,15.75,8204
293,1,2,1,3,1,0.586,0.61,0.649,0,1,6014,21.0,7836
294,1,2,1,2,0,0.684,0.676,0.617,1,1,5798,16.5,8083
295,1,2,0,2,1,0.668,0.562,0.415,1,0,5337,17.85,7233
296,1,3,0,3,0,0.589,0.574,0.673,1,0,7775,15.75,9019
297,1,4,1,3,0,0.49,0.472,0.461,1,0,6436,15.75,7576
298,1,2,0,3,1,0.857,0.933,0.832,0,0,13323,26.25,14517
299,1,4,0,3,1,0.628,0.697,0.493,0,1,6078,15.75,7917
300,1,3,1,1,0,0.189,0.092,0.131,0,0,3124,16.8,4875
301,1,2,0,4,1,0.996,0.756,0.949,1,1,12375,28.35,13375
302,1,3,0,2,1,0.686,0.421,0.466,1,0,8292,21.0,10070
303,1,3,0,1,0,0.321,0.123,0.093,0,0,1760,13.65,3065
304,1,4,0,3,0,0.642,0.609,0.696,0,0,5359,17.85,6605
305,1,3,1,2,1,0.458,0.463,0.569,1,0,7277,17.85,8681
306,1,3,1,2,0,0.356,0.009,0.271,0,1,1446,15.75,2520
307,1,1,1,4,1,0.898,0.713,0.871,1,1,11293,33.0,13363
308,1,3,0,2,1,0.525,0.668,0.481,0,1,5991,19.95,7887
309,1,3,0,2,0,0.557,0.498,0.458,0,1,7374,16.8,8852
310,1,2,1,4,1,0.707,0.82,0.888,0,0,14865,27.3,16236
311,1,2,1,3,0,0.409,0.424,0.559,1,1,5665,22.0,8139
312,1,3,0,2,0,0.132,0.088,0.251,0,0,2821,10.5,4409
313,1,2,1,3,1,0.893,0.982,0.981,1,1,9086,29.7,11900
314,1,2,0,2,1,0.51,0.452,0.674,1,0,8130,17.85,9342
315,1,4,0,2,0,0.036,0.247,0.171,1,1,2791,17.85,4318
316,1,2,0,3,0,0.551,0.499,0.59,1,0,7337,21.0,9234
317,1,4,0,2,1,0.466,0.55,0.692,0,0,8392,19.95,10385
318,1,2,1,3,1,0.96,0.971,0.865,0,1,15116,26.25,17021
319,1,2,1,3,1,0.79,0.768,0.959,0,1,12039,30.45,13739
320,1,3,1,2,0,0.569,0.437,0.491,1,0,7615,19.95,9473
321,1,3,0,1,0,0.083,0.174,0.049,0,0,2315,12.6,3882
322,1,2,1,4,1,0.718,0.931,0.985,0,1,10649,28.35,12061
323,1,3,0,3,0,0.638,0.564,0.413,0,0,5273,16.8,6354
324,1,3,0,1,0,0.061,0.011,0.148,0,1,4160,10.5,6125
325,1,1,1,3,1,0.969,0.915,0.89,1,0,11037,31.5,12833
326,1,3,1,2,1,0.493,0.605,0.541,0,0,6755,15.75,8377
327,1,3,0,1,0,0.1,0.19,0.106,0,0,4739,10.5,5952
328,1,1,1,3,1,0.782,0.723,0.895,1,1,12125,29.7,14694
329,1,3,1,3,1,0.657,0.605,0.695,0,0,7089,15.75,8190
330,1,1,0,3,1,0.725,0.756,0.952,0,0,9297,29.4,10759
331,1,2,1,4,1,0.788,0.99,0.73,0,0,13301,28.35,14934
332,1,4,0,2,1,0.528,0.527,0.533,0,0,8054,19.95,10047
333,1,3,1,1,0,0.313,0.003,0.046,0,0,2114,14.7,3671
334,1,2,1,2,0,0.642,0.417,0.685,1,1,8094,19.8,10297
335,1,4,1,2,1,0.598,0.561,0.591,0,1,5836,15.75,7758
336,1,4,0,2,0,0.402,0.413,0.535,1,1,5710,19.95,6767
337,1,4,1,1,0,0.277,0.352,0.243,1,0,4268,16.8,5669
338,1,1,0,2,0,0.631,0.676,0.446,1,1,6308,19.95,7565
339,1,4,1,1,0,0.061,0.17,0.148,1,1,4140,12.1,7135
340,1,4,1,3,1,0.422,0.54,0.689,0,1,8377,17.85,10279
341,1,2,0,2,0,0.539,0.509,0.495,0,1,7819,15.75,9411
342,1,4,1,2,1,0.449,0.647,0.433,1,0,8078,21.0,9575
343,1,3,0,3,1,0.513,0.527,0.454,0,1,5765,18.9,7199
344,1,3,1,3,0,0.49,0.66,0.583,1,1,8251,20.9,11052
345,1,4,1,1,0,0.031,0.053,0.378,1,1,1610,14.3,4355
346,1,1,1,3,0,0.4,0.427,0.695,0,1,7732,15.75,9478
347,1,3,1,2,0,0.361,0.293,0.371,1,1,2967,18.7,5848
348,1,3,0,3,0,0.515,0.501,0.459,0,0,7136,17.85,8548
349,1,1,1,4,1,0.945,0.75,0.931,1,1,15281,33.0,18070
350,1,1,1,2,1,0.67,0.5,0.626,1,0,5498,19.95,6909
351,1,4,0,2,0,0.48,0.556,0.415,0,0,5759,16.8,7394
352,1,2,1,4,1,0.86,0.773,0.894,1,0,13277,26.25,14552
353,1,2,1,3,0,0.525,0.447,0.522,1,1,7452,17.6,10220
354,1,3,0,1,0,0.232,0.343,0.178,0,0,4454,11.55,6064
355,1,1,0,3,1,0.441,0.45,0.402,1,0,7138,19.95,8488
356,1,2,0,3,0,0.519,0.463,0.658,1,1,5327,18.9,7040
357,1,3,0,2,1,0.64,0.41,0.677,1,1,8018,21.0,9614
358,1,2,0,3,1,0.87,0.969,0.903,0,1,12643,31.5,14263
359,1,4,0,2,1,0.565,0.444,0.628,1,1,7477,18.9,8629
360,1,4,0,2,1,0.438,0.605,0.608,1,0,7174,18.9,8530
361,1,1,1,4,1,0.919,0.824,0.788,0,0,11855,27.3,13732
362,1,3,0,2,0,0.639,0.553,0.602,1,1,5923,16.8,7742
363,1,1,1,3,0,0.674,0.538,0.552,0,0,7651,18.9,9155
364,1,1,1,4,1,0.931,0.744,0.825,0,1,10623,28.35,12024
